英単語,訳,発音記号（IPA）,解説
hybrid,交配種；ハイブリッド,ˈhaɪbrəd,"(動物植の)雑種,(物の)混成物 / 混種語(語源の異なる二つ以上の要素から成る語;たとえばshortageは英語(short)とフランス語(hybridage)の混種語) / 雑種(混成)の"
hydrogen,水素,ˈhaɪdrəʤən,『水素』(化学記号は『H』)
hypothetical,仮定の,ˌhaɪpəˈθɛtəkəl,"仮説の;前提の,仮定の / (三段論法など)仮言的な"
icon,アイコン；像,ˈaɪkɑn,"像,肖像;(ギリシア教会の)聖画像"
ideally,理想的には；,aɪˈdili,"理想的に,申し分なく / 観念的に"
identical,同じ,aɪˈdɛntɪkəl,"《the identical》『同一の』,全く同じの / 『等しい』,同様な"
identification,識別,aɪˌdɛntəfəˈkeɪʃən,"〈U〉同一であることの確認(証明),身元確認,身分証明 / 身分証明書"
ideological,イデオロギー上の,ˌaɪdiəˈlɑʤɪkəl,"イデオロギーの / 観念的な,空想的な"
ideology,イデオロギー；観念形態,ˌaɪdiˈɑləʤi,"〈C〉イデオロギー(社会・政党などが持つ典型的な思考形態) / 〈U〉《軽蔑して》空理,空論"
idle,仕事をしていない；動いていない,ˈaɪdəl,"(人が)『働いていない』(unemployed),(機械などが)使われていない,(時間が)空いている / (人が)『怠惰な』,怠けている / 価値のない,むだな / 〈人が〉何もしないでいる,ぶらぶらと時間を過ごす《+『about』》 / 〈機械などが〉から回りし続ける,アイドリングする / 〈時間〉‘を'空費する,ぶらぶらして過ごす《+『名』+『away』,+『away』+『名』》 / 〈不景気・ストライキなどが〉〈人・機械など〉‘を'遊ばせる,暇にさせる"
imbalance,不均衡,ɪmˈbæləns,"不均衡,釣り合いがとれていないこと"
immigration,移民,ˌɪməˈgreɪʃən,"(外国からの)移住,入植 / 《集合的に》入植者,移民国"
imminent,差し迫った,ˈɪmənənt,(危険・あらしなどが)差し迫った
immune,免疫,ɪmˈjun,"免疫の / 《補語にのみ用いて》(影響・攻撃・義務・税などを)免れている《+『against』(『from, to』)+『名』》"
impact,影響,ˈɪmpækt,"〈U〉〈C〉(…の…に対する)衝突,衝撃《+『of』+『名』+『against』(『on』,『upon』,『with』)+『名』》 / 〈C〉(…の…に対する)影響(influence)影響力《+『of』+『名』+『on』(『upon, against』)+『名』》"
impair,弱める；悪くする,ɪmˈpɛr,"〈健康・視力など〉‘を'損なう,〈判断力など〉‘を'弱める"
impairment,減損,ɪmˈpɛrmənt,
implicit,暗黙,ɪmˈplɪsət,"(同意・反対などが)暗に示された,暗黙の / 無条件の,絶対の"
importantly,【副】 より（最も）重要なことには；もったいぶって,ɪmˈpɔrtəntli,【副】より（最も）重要なことには；重要性をもって;もったいぶって
importer,"【名/C】輸入者,輸入業者,輸入国",ɪmˈpɔrtər,"【名/C】輸入者,輸入業者,輸入国,"
inability,できないこと,ˌɪnəˈbɪlɪti,"無力,無能,不能"
inadequate,不十分な,ɪˈnædəkwət,"(物事が)不十分な,不適当な;(人が)能力不足の"
inappropriate,不適切,ˌɪnəˈproʊpriɪt,"不適当な,ふさわしくない"
incline,勾配,ɪnˈklaɪn,"(…に)『心が傾く』,気が向く / 〈人・物が〉『傾向がある』(rend) / (…に)傾く,傾斜する;身をかがめる《+『to』(『toward』)+『名』》 / 〈物事が〉(…に)‘の'心を向けさせる / (…に)…‘を'傾ける,傾斜させる,かがめる《+『名』+『to』(『toward』)+『名』》 / 傾斜,こう配;斜面"
inclusion,算入,ɪnˈkluʒən,"〈U〉(…を)中に含めること,(…の)包含《+『of』+『名』》 / 〈C〉中に含まれた物"
incomplete,不完全な,ɪnkəmˈplit,不完全な;未完成の
inconsistent,矛盾,ˌɪnkənˈsɪstənt,"食い違っている,矛盾する"
incorporation,取り込み,ɪnˌkɔrpəˈreɪʃən,"法人設立 / 編入,合併"
incorrect,不正確,ɪnkəˈrɛkt,"『不正確な』,誤った / 適切でない"
incremental,増分,ˌɪnkrəˈmɛntəl,増加の
incumbent,現職,ɪnˈkʌmbənt,"義務として掛かる,責務がある / 《名詞の前にのみ用いて》《おもに米》現職の,在職の / 《おもに米》現職者,在職者 / 受祿聖職者,受給聖者(英国国教会の教会を持ち聖職祿を持っている牧師)"
incur,招く；被る；負う,ɪnˈkɜr,"〈損害・非難・危険など〉‘を'招く,こうむる"
independently,単独で,ˌɪndɪˈpɛndəntli,"独立して,自主的に"
indicator,インジケーター；指示する人；表示計器,ˈɪndəˌkeɪtər,"指示する人(物),指示器,表示器;指針 / (リトマスなどの)指示薬"
indifference,冷淡,ɪnˈdɪfərəns,"(…に対する)『無関心』,むとんじゃく,冷淡・《+『to』(『toward』)+『名』》 / (…にとって)重要でないこと,ささいなこと《+『to』+『名』》"
indirect,間接の,ɪndəˈrɛkt,"(道などが)『真っすぐでない』,回り道の / (話し方が)遠回しの,率直でない / (結果などが)『間接的な』,二次的な"
indirectly,間接的,ɪndəˈrɛktli,"間接に,遠回しに"
individually,個々に,ˌɪndɪˈvɪʤuəli,"個々に,個別的に / 個人として,個人的に / 個性的に,独自のやり方で"
induce,誘発する,ɪnˈdus,"〈人〉‘に'『勧めて』(…)『させる』 / …‘を'『引き起こす』,もたらす(cause) / 〈電気〉‘を'誘導する / …‘を'帰納する"
ineffective,"効果のない,無益な；役に立たない",ɪnɪˈfɛktɪv,"効果のない,むだな / 役に立たない,無能の,無力の"
inefficiency,無能,ɪnɪˈfɪʃənsi,"むだ,無能"
inefficient,非効率的な,ɪnɪˈfɪʃənt,"(人が)役に立たない,無能の;(機械・方法などが)役に立たない,能率の上がらない"
inequality,不平等,ˌɪnɪˈkwɑləti,"〈U〉〈C〉(大きさ・数・量・程度などが)等しくないこと,不平等,不同 / 《複数形で》表面に不ぞろい,でこぼこ / 〈U〉不等;〈C〉不等式"
inevitable,必然,ɪˈnɛvətəbəl,"『避けがたい』,免れられない,必然的な"
inevitably,必然的に,ɪˈnɛvətəbli,"避けられないで,必然的に"
infect,感染,ɪnˈfɛkt,"〈病気が〉…‘に'『感染する』;(病気を)…‘に'感染させる,すつす《+『名』+『with』+『名』〈病気〉》 / …‘に'『影響を及ぼす』"
inference,"(推論による)結論,推論, 推量, 推察, 推測",ˈɪnfərəns,"〈U〉推量,推論,推測 / 〈C〉推量の結果,結論"
inflate,ふくらませる；上昇させる,ɪnˈfleɪt,"(空気・ガスなどで)…‘を'ふくらます《+『名』+『with』+『名』》 / 〈物価・株式など〉‘を'釣り上げる;〈通貨〉‘を'膨張させる / (誇り・満足などで)〈人〉‘を'慢心させる《+『名』+『with』+『名』》 / ふくらむ,膨張する"
inflationary,インフレの；インフレを誘発する,ɪnˈfleɪʃəˌnɛri,"インフレの,通貨膨張の,物価騰貴の"
inflow,流入,ˈɪnˌfloʊ,〈U〉流入 / 〈C〉流入物
influential,影響力の強い；有力な,ˌɪnfluˈɛnʧəl,"『有力な』,影響を及ばす;勢力のある"
info,情報,ˈɪnfoʊ,=information
informal,非公式,ɪnˈfɔrməl,"『正式でない』,略式の / 打ち解けた,儀式ばらない / 口語体の,会話調の"
infrastructure,インフラ；社会基盤施設,ˌɪnfrəˈstrʌkʧər,"(組織の機能を助ける)下部構造,下部組織 / (NATOなどの)永久[軍事]基地"
ingredient,成分,ɪnˈgridiənt,"(混合物の)成分,原料 / 構成要素"
inherent,"【形】内在する,切り離せない,固有の,生まれつきの",ɪnˈhɪrənt,"『本来の』,生まれつきの"
inherit,"を相続する,受け継ぐ ；のあとを継ぐ；を引き継ぐ",ɪnˈhɛrət,"(…から)〈財産・権利・称号など〉‘を'『相続する』《+『名』+『from』+『名』》 / (…から)〈体質・性質など〉‘を'『受け継ぐ』《+『名』+『from』+『名』》 / (前任者・前代から)…‘を'受け継ぐ,継承ぐ,継承する《+『名』+『from』+『名』》 / 財産を相続する"
initiate,始める,ɪˈnɪʃiɪt,"…‘を'始める / 《しばしば受動態で》(特に式を行って)(…に)〈人〉‘を'入会させる《+『名』〈人〉+『in』(『into』)+『名』》 / 〈人〉‘に'(…の)初歩を教える,秘伝(秘訣)を教える《+『名』〈人〉+『in』(『into』)+『名』》 / 新入りの,手ほどきを受けた / 新入会者;手ほどきを受けた人"
injection,注入,ɪnˈʤɛkʃən,"〈U〉〈C〉注射,注入 / 〈C〉注射液"
ink,インク,ɪŋk,"(筆記用・印刷用)の『インク』 / (イカなどの出す)墨 / …‘を'インクで書く(塗る,しるす,汚す)"
innovative,革新的な,ˈɪnəˌveɪtɪv,
insert,挿入する；書き入れる,ɪnˈsɜrt,"(…に)…‘を'『差し込む』,挿入する《+『名』+『in』(『into, between』)+『名』》 / 挿入物;(別刷りの)差し込みページ;(新聞などの)折り込みビラ"
insider,内情に通じた人；内部の人間；会員,ɪnˈsaɪdər,"内部の人,会員,部員 / 《話》内幕を知っている人,消息通"
inspect,調べる；検査する；検閲する,ɪnˈspɛkt,"…‘を'『検査する』,念入りに調べる / (公式に)…‘を'視勅する"
inspection,検査,ɪnˈspɛkʃən,"検査,点検;視察"
inspector,調査官；検査官；警視正,ɪnˈspɛktər,"視察官,調査官,監査人(役) / 警部"
instability,不安定,ˌɪnstəˈbɪlɪti,"不安定,不確定;(心の)不安定,変わりやすさ"
installation,設置,ˌɪnstəˈleɪʃən,"〈U〉(装置などの)取り付け,据え付け / 〈U〉(人の)任命,就任 / 〈C〉(取り付けた)装置,設備 / 〈C〉軍事施設"
installment,(分割払いの)1回分の支払い；(連載記事･小説などの)1回分,ɪnˈstɔlmənt,"(月賦などの1回分の)『分割払い込み金』 / (続き物などの)1回分,1部"
instant,インスタント；即座の；即席の；瞬間,ˈɪnstənt,"『一瞬の間』,瞬間(moment) / 《the,this,thatなどを伴って》(…の)ちょうどその瞬間,まさに(…の)時 / 『即時の』,すぐの,即刻の / 《名詞の前にのみ用いて》『急の』,緊急の(urgent) / 『即席の』,インスタント[料理]の / 《古》今月の"
instinct,本能,ˈɪnstɪŋkt,"『本能』 / 〈C〉(…に対する)(生まれつきの)才能,素質,天分《+『for』+『名』(do『ing』)》"
institute,学院,ˈɪnstəˌtut,"〈学校・政府・規則など〉‘を'『設ける』,設立する,制定する / 〈調査・訴訟など〉‘を'始める,起こす / (学校・研究所・学会などの)『教育』)『学術』『機関』"
instruct,指示を与える；命じる；教える；知らせを受ける,ɪnˈstrʌkt,"…‘に'知識(情報,技術など)を与える,教える,知らせる / 〈人〉‘に'『指示する』,命令する"
instructor,指導者；先生；専任講師,ɪnˈstrʌktər,"教師,指導者 / 《米》(大学の)専任講師(assistant professorの下位の職)"
insufficient,不十分,ɪnsəˈfɪʃənt,"不十分な,不適当な"
insurer,保険会社,ɪnˈʃʊrər,"保険業者,保険会社;保証人"
insurgency,反乱,ɪnˈsɜrʤənsi,
insurgent,暴徒,ɪnˈsɜrʤənt,"暴動(反乱)を起こした / 暴徒,謀反(むほん)人,反乱者 / 《米》党議に従わない人,反党分子"
intangible,無形,ɪnˈtænʤəbəl,"触れることができない / 雲をつかむような,はっきりしない"
integral,積分,ˈɪntəgrəl,"全体の一部分として欠くことのできない,完全なものになるに必要な / 完全無欠な / (数学で)整数の"
integration,統合,ˌɪntəˈgreɪʃən,"統合,集成,完成 / (学校や住居における)人種差別の撤廃"
integrity,整合性,ɪnˈtɛgrəti,"完全,無欠 / 高潔,清廉,誠実"
intelligent,知的な,ɪnˈtɛləʤənt,"『理且力のある』,そう明な,知能の高い"
intensify,激化,ɪnˈtɛnsəˌfaɪ,"…‘を'強める,強烈にする / 強くなる,激しくなる"
intensity,強烈さ；激しさ；熱心さ；強度,ɪnˈtɛnsəti,"(感情・行動・熱・色などの)『強烈さ』,熱烈さ,強度"
intensive,集中的な,ɪnˈtɛnsɪv,"『集中的な』,徹底的な,強度の,激しい / (語が)強意の,強調の / =intensifier"
intent,意図,ɪnˈtɛnt,"(特に法律用語で)『意図』,目的"
inter,インター；...間の；相互の,ɪnˈtɜr,〈死体〉‘を'埋葬する
interact,相互作用する,ˌɪntəˈrækt,"(…と)相互に作用する,影響し合う《+『with』+『名』》"
interactive,対話,ˌɪntəˈræktɪv,
intercept,途中で奪う；傍受する；迎撃する,ˌɪntərˈsɛpt,"〈進行する人・物〉‘を'途中で捕まえる(奪う) / …‘の'進行をさえぎる;…‘を'妨げる,中断する / (数学で)〈線・平面〉‘を'2点(2線)で切り取る"
interface,インターフェース；境界面；接面,ˈɪntərˌfeɪs,"中間面,界面(2物体・空間の接触面)・（異なる物の）境界面, 中間共通面; 共有領域; （コンピュータ）インタフェース"
interfere,干渉する,ˌɪntərˈfɪr,"(…に)『干渉する』,口出しをする(meddle)《+『in』(with』)+『名』)『wh-節』(『句』,do『ing』)》 / (仕事・状況などの)『妨げとなる』,邪魔になる《+『with』+『名』(do『ing』)》"
interference,干渉,ˌɪntərˈfɪrəns,"〈U〉(…への)干渉,口出し,妨害《+『with』+『名』》 / 〈U〉〈C〉(ラジオ・テレビの)混信;(光波・音波などの)干渉 / 〈U〉(一般のスポーツで)妨害行為"
interim,中間の；仮の；一時的な；暫定的な；合間；暫定,ˈɪntərəm,"(二つのでき事・時期などの)中間,合い間 / 中間の,間の"
intermediary,媒介,ˌɪnərˈmidiɛri,"中間の,中継の,仲介の,媒介の / 仲裁人,仲介者"
intermediate,中間体,ˌɪntərˈmidiɪt,"(程度・距離・時間などにおいて)中間の,中間にある(起こる)"
internally,内部,ɪnˈtɜrnəli,
internationally,国際,ˌɪntərˈnæʃənəli,
internet,インターネット,ˈɪntərˌnɛt,
interval,間隔,ˈɪntərvəl,"(事と事の)間の時間,『合い間』;(物と物の)間の空間,間隔 / 《英》=intermission / 音程"
intervene,介入,ˌɪntərˈvin,"(ある事と事,時と時,場所と場所の)『間に起こる』,間に人る《+『between』(『in』)+『名』》 / (相対するもの間に)仲裁に入る,(…に)干渉する《+『in』(『between』)+『名』》 / 〈事が〉じゃまに入る"
intrigue,陰謀,ɪnˈtrig,"〈U〉陰謀を企てること / 〈C〉陰謀,計略 / 〈C〉密通 / 〈人〉‘の'好奇心(興味)をそそる / (人に対して)陰謀を企てる《+『against』+『名』》"
intrinsic,内在的,ɪnˈtrɪnsɪk,"(価値・質などが)本質的な,本来備わった"
invade,侵入する,ɪnˈveɪd,〈敵が〉…‘に'『侵入する』 / 〈人が〉…‘に'『押し寄せる』 / 〈権利など〉‘を'『侵害する』(violate) / 〈病気などが〉…‘を'おかす
invasion,侵入,ɪnˈveɪʒən,"(敵軍の)侵入,侵略《+『of』+『名』》 / (人・物の)殺到;(災害などの)襲来《+『of』+『名』》 / (権利などの)侵害《+『of』+『名』》"
invention,発明,ɪnˈvɛnʃən,"〈U〉(…の)『発明』《+『of』+『名』》 / 〈C〉『発明品』 / 〈U〉〈C〉『作り事』,でっち上げ / 〈U〉発明の才[のあること]"
inventory,在庫,ˌɪnvənˈtɔri,"〈C〉(商品・財産などの)目録《+『of』+『名』》 / 《集合的に》在庫品;資産 / 〈U〉在庫品調べ,たな卸し / 〈財産・商品など〉‘の'目録を作る,品調べをする"
investigator,求道者,ɪnˈvɛstəˌgeɪtər,"調査者,研究者"
invoice,請求書,ˈɪnvɔɪs,"送り状(値段や輸送料をつけて,買い手に送る品物のリスト)
…‘の'送り状を作る"
irrelevant,無関係,ɪˈrɛləvənt,見当違いの;取るに足りない
isolation,隔離,ˌaɪsəˈleɪʃən,"孤立;隔離,分離"
issuance,発行,ˈɪʃuəns,"発行,発布;配給"
issuer,発行者,ˈɪʃuər,
jet,ジェット機；噴出；噴出する,ʤɛt,"(水・ガス・蒸気などの)『噴出』,噴射;噴出物,噴射物 / 噴出口,(ホースなどの)筒口 / =jet plane / =jet engine / 噴出する,噴射する / ジェット機で行く(旅行する) / …‘を'噴出する,噴射する / …‘を'ジェット機で運ぶ"
jointly,"共同で,合同で;連合して,連帯的に",ˈʤɔɪntli,"共同して,連帯で"
judicial,裁判上,ʤuˈdɪʃəl,"裁判の,司法の / 裁判官の,裁判官にふさわしい / 裁判による"
junior,後輩の；経験が浅い；子供の,ˈʤunjər,"『若いほうの』,『年下の』;年少者から成る(向けの) / (役職などが)下の,下級の;後進の,後輩の / 《米》(大学・高校の4(3,2)年制で)3(2,1)年生の / 《通例one's~》『年少者』,年下の人;下位の人,後輩 / 《米》(大学・高校の4(3,2)年制で)3(2,1)年生(卒業の年の前年) / 《J-》《米》うちの息子"
junk,がらくた；くず；くだらないもの,ʤʌŋk,"廃品,くず(古材・古鉄・古紙・ぼろなど) / 《話》(一般に)値打ちのないもの;がらくた(rubbish) / 《俗》ヘロイン / (廃品として)…‘を'捨てる"
jurisdiction,管轄,ˌʤʊrəsˈdɪkʃən,"司法権,裁判権 / 支配権,管轄権 / 管轄区域"
justification,正当化,ˌʤʌstəfəˈkeɪʃən,"(…を)正当化すること,(…の)正当化,弁明,弁護《+『of』+『名』》 / (…を)正当とする理由(事実)《+『for』+『名』(do『ing』)》"
kidnap,【動/他】を誘拐する【名/U】誘拐,ˈkɪdˌnæp,"【動/他】〈人〉‘を'誘拐する
【名/U】誘拐"
killer,殺人犯；とても難しいもの；とても魅力的な人,ˈkɪlər,殺人者;屠殺(とさつ)者;殺し屋
lab,実験室；試験所；研究所,læb,実験室(laboratory)
lag,遅れ,læg,"『遅れる』,(学業・仕事などで)遅れをとる《+『behind』》;(…より)遅れる《+『behind』+『名』》 / 〈関心などが〉衰える / 遅れること,遅延"
landlord,家主,ˈlænˌdlɔrd,"家主 / (旅館・下宿などの)『主人』,だんな"
laptop,ノートパソコン,ˈlæpˌtɑp,
laser,レーザー；レーザー装置,ˈleɪzər,"レーザー(強力な可視光線を発生させる;医療,通信,軍事用)"
lately,近頃,ˈleɪtli,"『近ごろ』,最近"
launder,〈金〉を洗浄する；を洗濯する; を洗ってアイロンをかける；洗える,ˈlɔndər,"〈衣類など〉‘を'洗濯する,洗濯してアイロン仕上げをする / 〈衣類などが〉洗濯とアイロンがきく(できる)"
lawsuit,訴訟,ˈlɔˌsut,訴訟[事件]
layout,レイアウト；設計,ˈleɪˌaʊt,"(都市や建造物などの)設計《+『of』+『名』》 / (書籍・新聞の)割り付け,レイアウト《+『of』+『名』》"
leak,漏れる；漏らす；穴；ひび割れ,lik,"〈U〉〈C〉(水・空気・ガス・光などが)漏れること / 〈C〉『漏れ口』,漏れ穴 / 〈C〉(秘密などの)漏えい《+『of』+『名』》 / 〈船・屋根・容器などが〉漏る / (…から,…の中へ)〈水・空気・ガス・光など〉漏れる《+『from』(『into』)+『名』》 / 〈秘密などが〉漏えいする《+『out』》 / 〈水・空気・ガス・光など〉‘を'漏らす / (…に)〈秘密など〉‘を'漏らす《+『名』+『to』+『名』》"
lease,賃貸借契約；リース,lis,"借地(借家)契約,借地(借家)権 / 借用期間 / (…に)〈土地・家屋など〉‘を'賃貸する《+『名』+『to』+『名』》 / (…から)…‘を'賃借りする《+『名』+『from』+『名』》"
ledger,元帳,ˈlɛʤər,"元帳,原薄"
legacy,伝承のもの；遺産；レガシー,ˈlɛgəsi,(特に遺言によって相読する)遺産 / (祖先・先人から受け継いだ精神的・物質的)遺産
legally,合法的に,ˈligəli,"法律上,法律的に / 合法的に"
legislative,立法,ˈlɛʤəˌsleɪtɪv,"立法の,立法権のある"
legislature,議会,ˈlɛʤəˌsleɪʧər,"《the ~》立法府,立法機関 / 《米》州議会"
legitimacy,正当性,ləˈʤɪtəməsi,"合法,適法,正当 / 正統,正系,嫡出(ちゃくしゅつ)"
legitimate,正当,ləˈʤɪtəmət,"(要求・目的などが)『合法的な』,法律の認める / (議論などが)『論理的な』,筋道の立った / (支出・苦情などが)正当な,もっともな / (生まれが)適法な婚姻から生じた,嫡出(ちゃくしゅつ)の / 正統の / …‘を'合法化する / 〈子供〉‘を'嫡出子とする"
leisure,余暇,ˈlɛʒər,"『暇』,余暇;(仕事をしなくてもよい)自由な時間 / 仕事をする必要がないこと / 暇な,有閑な"
lender,貸し手,ˈlɛndər,貸す人
lessee,賃借人,lɛˈsi,"借地人,借家人"
lesser,より小さい；より劣る；重要でない方,ˈlɛsər,"『いっそう小さい(少ない,重要でない)』,より劣った"
lessor,賃貸人,ˈlɛsər,"貸主;地主,家主, 賃貸人"
leverage,影響力；支配力；てこの力；レバレッジ,ˈlɛvərɪʤ,"てこの作用(力) / てこ入れ,影響力"
levy,徴収,ˈlɛvi,"(…に)〈税金など〉‘を'強制的に課する《+『名』+『on』(『upon』)+『名』》;〈税金など〉‘を'取り立てる / 《文》(…に対して)〈戦争〉‘を'始める《+『upon』(『against』)+『名』》 / (税金などの)強制課税(取り立て);(兵士の)召集 / 取り立てた税金;召集兵,召集軍隊"
liable,しがちだ；責任がある,ˈlaɪəbəl,"(法律的に)責任(義務)のある / 《『be liable to』+『名』》(病気などに)『かかりやすい』 / 《『be liable to』 do》(性質・習慣などにより)…しがちである,しやすい;《話》…しそうな,たぶん…する"
liberalization,自由化,ˌlɪbərəlɪˈzeɪʃən,"寛大なこと / 自由化,自由改革,自由主義化"
liberalize,緩和する；自由化する；広くする；寛大になる,ˈlɪbərəˌlaɪz,"〈心など〉‘を'広くする,寛大にする / (自由主義に基づいて)…‘を'改革する;…‘を'自由[主義]化する / 寛大になる / 自由になる"
liberty,自由,ˈlɪbərti,"〈U〉(圧政・支配・束縛などからの)『自由』,独立,解放;(自分の意志で行動・選択する)自由,権利 / 〈C〉『気まま』,かって;かって気ままな言動 / 《the ~》(ある場所に出入りする)『権利』,自由《+『of』+『名』》 / 〈U〉(海軍の)上陸許可(時間) / 《複数形で》(王などから与えられた)権利,特権"
lifestyle,生活様式；暮らしぶり；ライフスタイル,ˈlaɪfˌstaɪl,"生き方,生きざま"
lifetime,一生,ˈlaɪfˌtaɪm,"『生涯』,一生 / 一生の,終生の"
likelihood,可能性,ˈlaɪkliˌhʊd,"(…が)ありそうなこと,(…の)見込み,可能性(probability)《+『of』+『名』》"
likewise,同様に,ˈlaɪˌkwaɪz,『同様に』(in the same way) / …もまた(also);さらに(moreover)
linear,線形,ˈlɪniər,"線の,直線の / 線から成る,線を使った;線状の / (方程式が)一次の"
liquidate,清算する,ˈlɪkwɪˌdeɪt,"…‘を'除く,廃止する / 〈負債〉を弁済する / (破産などで)〈会社〉‘を'整理する / 《話》…‘を'殺す,片づける / 整理する,清算する"
liquidation,清算,ˌlɪkwɪˈdeɪʃən,"(負債)の弁済,(会社の)整理 / 殺害"
liquidity,流動性,lɪˈkwɪdəti,"(資産・証券などの)換金性,流動性 / 《まれ》流動的な状態"
liter,リットル,ˈlitər,"リットル(メートル法の容量の単位《略》『l.,lit』)"
litigation,訴訟,ˌlɪtəˈgeɪʃən,訴訟
lobby,ホール；ロビー；政治的圧力団体,ˈlɑbi,"『ロビー』(公共的建物・ホテルの玄関から部屋へ行くまでの間の広間または廊下) / 《《米》単数・複数扱い》(院外の)圧力団体,陳情団 / (英国で) / (下院で議案裁決のとき,賛否に分かれる)投票者控え室 / (議員が院外者との会見に用いる議事堂の)ロビー,控えの間 / (陳情・運動のため議員に)働きかける《+『for』+『名』》 / 〈議案〉‘を'議員に運動して通過させようとする"
locally,地元で；この近くで,ˈloʊkəli,"地方的に,局部的に;近くに"
logical,論理的,ˈlɑʤɪkəl,"論理学の / 論理的な / (論理上)必然の,不可避の"
logistics,ロジスティックス；物流；兵站学,ləˈʤɪstɪks,兵站(へいたん)学(調達・補給・宿営などの業務に関する兵学)
logo,ロゴ,ˈloʊgoʊ,
loom,織機,lum,"(織物を織る)機(はた),織機"
loop,輪；取っ手；輪にする；繰り返し流す,lup,"(糸・ひも・針金などで作った)『輪』・輪状のもの;(輪状の)湾曲部・(宙返り飛行・スケートなどで描く)輪・ループ (ある条件が成立するまで繰り返し実行される，プログラム中に記述された一連の命令のこと)・仲間、影響｝を受け合う間柄・同列の立場・「keep誰々in the loop」として、「keep誰々informed：情報を（人）に絶えず提供し続ける、報告を（人）に欠かさない、（人）に逐次連絡する、（人）に常に通知する」・避妊リング; (鉄道・電線などの)環状線(loop line)・…‘を'輪にする,輪で囲む・…‘を'輪で結ぶ,輪で締める《+『up』+『名,』+『名』+『up』》・輪になる,輪を描く"
loser,敗者,ˈluzər,"負ける,(負けた)人,敗北者"
loyal,忠誠な；忠誠心のある；誠実な；熱心な,ˈlɔɪəl,"『忠実な』,誠実な(faithful) / 『忠誠な』,忠義な"
loyalty,誠実さ；忠誠；友愛；義務感,ˈlɔɪəlti,"〈U〉(…に対する)忠義,忠誠;忠実,忠節《+『to』+『名』》 / 〈C〉《複数形で》忠実な行為;忠節関係"
lucrative,"利益が得られる,もうかる",ˈlukrətɪv,"利益が上がる,もうかる"
lump,塊,lʌmp,"(一定の形のない)『塊』 / 小さい立方体 / 『こぶ』,はれもの / 《話》のろま,まぬけ,でくのぼう / 《英話》《集合的に》飯場臨時作業員 / 塊になった / 一まとめの,一括した / 〈いくつかのもの〉‘を'一まとめにする,一様に扱う《+『together』+『名,』+『名』+『together』》 / 塊になる"
lure,誘惑する；誘い込む；誘い出す；誘惑,lʊr,"『誘惑するもの』,魅力 / 《おもに英》(魚釣り用の)にせ餌(え);(他の鳥をおびき寄せるための)おとり / ‘を'『誘惑する』,おびき寄せる《+『名』+『on』》"
machinery,"(特に大きな)機械(類)；作動部；機構,機関,体制；勢力,分子；方策,手順",məˈʃinəri,"《集合的に》《単数扱い》『機械』 / 《集合的に》機械の部品;機械装置 / (社会・政治などの)機構,組織《+『of』+『名』》"
macro,大きい,ˈmækroʊ,
macroeconomic,マクロ経済,ˌmækroʊɛkəˈnɑmɪk,
macroeconomics,マクロ経済学,ˌmækroʊɛkəˈnɑmɪks,
magnetic,磁気,mægˈnɛtɪk,"磁石の;磁気の(による,を帯びた) / 人を引き付ける,魅力のある"
magnitude,マグニチュード,ˈmægnəˌtud,"『大きさ』,規模 / 『重要さ』(importance);(精神的な)偉大さ,高潔 / (星の)光度,等級 / マグニチュード(地震の強さなどの数量的単位)"
mainland,本土,ˈmeɪnˌlænd,"《通例 the~》本土,大陸(付近の島と区別した)"
mainstream,主流,ˈmeɪnˌstrim,《the ~》(運動・思潮などの)主流 / (川の)本流
mall,ショッピングモール；木陰のある散歩道,mɔl,木陰の散歩道;遊歩道 / 《米》歩行者専用の商店街・ショッピングモール
managerial,経営者の,ˌmænɪˈʤɪriəl,《名詞の前にのみ用いて》経営上の;経営者の
mandate,【名】権限；（公式）命令；委任統治(領)；任期【動/他】〖～ that節/to do〗…であることを義務づける；権限を与える；統治を委任する,ˈmænˌdeɪt,"〈C〉命令,指令 / 〈C〉(上級裁判所から下級裁判所への,または上級官吏から下級官吏への)命令[書] / 《単数形で》(選挙民が選挙によって与える議員・議会への)委任,権能付与 / 〈U〉(国際連盟による)委任統治 / 〈領土・植民地など〉‘の'統治を委任する"
mandatory,必須の,ˈmændəˌtɔri,"(命令によって)強制的な / 委任の / 委任を受けた人(国),委任統治の受任国"
maneuver,"【名/C】操作;策略,工作；作戦行動【動/他】巧みに動かす；を策略で動かす【自】巧みに進む",məˈnuvər,"(軍隊・艦隊などの)機動作戦,作戦行動 / 《複数形で》大演習,機動演習 / 〈C〉巧妙な手,策略 / 〈落隊・艦隊・兵など〉‘を'動かす / …‘を'巧みに扱う(処理する),さばく / 〈軍隊・艦隊・兵が〉作戦行動を取る / (…に対して)計略を用いる,たくらむ《+for+名》"
manipulate,操る；操作する；改竄する,məˈnɪpjəˌleɪt,"〈道具類〉‘を'巧みに扱う(動かす),〈言葉〉‘を'うまく使う / 〈人・世論など〉‘を'巧みに操る,〈問題など〉‘を'うまく処理する(maneuver) / (自分の利益のために)…‘を'ごまかす,小細工する"
manipulation,操作,məˌnɪpjəˈleɪʃən,"(…の)巧妙な扱い,操作《+『of』+『名』》 / (自分の利益のための)ごまかし,小細工"
